"X","Year","Month","DayofMonth","DayOfWeek","DepTime","CRSDepTime","ArrTime","CRSArrTime","UniqueCarrier","FlightNum","TailNum","ActualElapsedTime","CRSElapsedTime","AirTime","ArrDelay","DepDelay","Origin","Dest","Distance","TaxiIn","TaxiOut","Cancelled","CancellationCode","Diverted","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay"
1327099,2008,3,29,6,1435,1425,1550,1530,"YV",2630,"N920FJ",75,65,42,20,10,"CLT","SAV",213,5,28,0,"N",0,20,0,0,0,0
5343748,2008,9,27,6,1343,1320,1641,1600,"B6",60,"N593JB",178,160,135,41,23,"TPA","JFK",1005,9,34,0,"N",0,0,0,41,0,0
5599202,2008,10,31,5,1205,1159,1419,1425,"UA",581,"N574UA",254,266,230,-6,6,"ORD","PDX",1739,4,20,0,"N",0,NA,NA,NA,NA,NA
5938627,2008,10,12,7,1716,1702,2031,2030,"DL",1749,"N621DL",315,328,292,1,14,"BOS","SLC",2105,9,14,0,"N",0,NA,NA,NA,NA,NA
2382923,2008,4,12,6,1516,1440,1801,1730,"DL",982,"N395DN",165,170,128,31,36,"PBI","LGA",1035,17,20,0,"N",0,0,0,0,0,31
4574765,2008,8,15,5,1656,1441,1936,1720,"EV",4760,"N722EV",160,159,134,136,135,"ATL","PWM",1027,3,23,0,"N",0,135,0,1,0,0
3708126,2008,7,27,7,2238,2017,2351,2140,"XE",7784,"N13908",73,83,56,131,141,"SFO","LAX",337,7,10,0,"N",0,0,0,0,0,131
4115369,2008,7,1,2,1115,1005,1303,1205,"AA",1004,"N3CSAA",108,120,91,58,70,"MIA","RDU",700,7,10,0,"N",0,2,0,0,0,56
489631,2008,1,16,3,1743,1440,1915,1610,"AA",659,"N454AA",92,90,65,185,183,"DFW","MCI",460,14,13,0,"N",0,183,0,2,0,0
4529827,2008,8,29,5,2242,2230,2355,2344,"US",1002,"N103US",73,74,52,11,12,"CLT","JAX",329,4,17,0,"N",0,NA,NA,NA,NA,NA
3228413,2008,6,19,4,1948,1901,113,42,"UA",430,"N524UA",205,221,186,31,47,"DEN","EWR",1605,5,14,0,"N",0,0,0,0,0,31
2045517,2008,4,2,3,1601,1555,1824,1841,"US",777,"N918UW",143,166,130,-17,6,"PHL","TPA",920,4,9,0,"N",0,NA,NA,NA,NA,NA
657068,2008,2,18,1,1721,1700,1842,1825,"WN",2965,"N753SW",81,85,72,17,21,"OAK","SAN",446,2,7,0,"N",0,7,0,0,0,10
4106144,2008,7,7,1,1648,1425,1808,1555,"AA",494,"N249AA",80,90,60,133,143,"MCI","ORD",403,4,16,0,"N",0,0,0,0,0,133
2866333,2008,5,13,2,2120,2110,552,520,"AA",14,"N5DJAA",332,310,316,32,10,"OGG","LAX",2486,9,7,0,"N",0,0,0,22,0,10
1716971,2008,3,14,5,610,600,917,857,"AS",753,"N565AS",187,177,161,20,10,"PHX","SEA",1107,6,20,0,"N",0,10,0,10,0,0
2763266,2008,5,20,2,1326,1320,2155,2115,"HA",12,"N583HA",329,295,308,40,6,"HNL","SFO",2398,4,17,0,"N",0,40,0,0,0,0
3121475,2008,6,4,3,1549,1500,1652,1612,"XE",2040,"N14902",63,72,36,40,49,"EWR","PVD",160,5,22,0,"N",0,0,0,0,0,40
5144840,2008,9,18,4,2137,2130,2211,2218,"EV",4921,"N973EV",34,48,20,-7,7,"ATL","CHA",106,2,12,0,"N",0,NA,NA,NA,NA,NA
2412697,2008,5,10,6,1340,1300,1446,1415,"WN",2442,"N220WN",66,75,52,31,40,"LAX","OAK",337,3,11,0,"N",0,0,0,0,0,31
2320613,2008,4,19,6,2226,2210,59,47,"AS",115,"N548AS",213,217,194,12,16,"SEA","ANC",1449,5,14,0,"N",0,NA,NA,NA,NA,NA
1541863,2008,3,12,3,1305,1114,1455,1305,"FL",147,"N985AT",110,111,81,110,111,"FLL","ATL",581,7,22,0,"N",0,110,0,0,0,0
6241423,2008,11,12,3,1030,932,1121,1025,"EV",5494,"N719EV",111,113,85,56,58,"ATL","MLI",633,2,24,0,"N",0,32,0,0,0,24
3638803,2008,7,13,7,1618,1610,1734,1735,"WN",1831,"N392SW",76,85,63,-1,8,"MAF","HOU",441,6,7,0,"N",0,NA,NA,NA,NA,NA
4967844,2008,9,13,6,606,600,813,809,"YV",2798,"N991HA",127,129,105,4,6,"SBA","PHX",455,7,15,0,"N",0,NA,NA,NA,NA,NA
4827233,2008,8,3,7,2305,2225,636,603,"DL",1074,"N133DN",271,278,250,33,40,"SFO","ATL",2139,7,14,0,"N",0,32,0,0,0,1
3240205,2008,6,16,1,1856,1850,1909,1920,"UA",799,"N309UA",73,90,54,-11,6,"CLE","ORD",316,7,12,0,"N",0,NA,NA,NA,NA,NA
1656458,2008,3,12,3,2053,1909,2127,1957,"9E",5877,"89779E",94,108,70,90,104,"DTW","CID",431,10,14,0,"N",0,90,0,0,0,0
6825873,2008,12,3,3,1857,1845,2202,2125,"MQ",3602,"N909MQ",185,160,154,37,12,"MKE","DFW",853,6,25,0,"N",0,0,8,25,0,4
4252122,2008,8,8,5,1817,1745,2129,2120,"WN",275,"N408WN",132,155,121,9,32,"MDW","TPA",997,4,7,0,"N",0,NA,NA,NA,NA,NA
2927667,2008,5,20,2,1022,740,1622,1329,"AS",660,"N565AS",240,229,201,173,162,"SEA","DFW",1660,12,27,0,"N",0,162,0,11,0,0
6782099,2008,12,2,2,1935,1920,2058,2044,"F9",563,"N905FR",143,144,124,14,15,"STL","DEN",770,7,12,0,"N",0,NA,NA,NA,NA,NA
4725666,2008,8,9,6,1324,1310,1913,1920,"AA",656,"N570AA",229,250,212,-7,14,"SAN","ORD",1723,5,12,0,"N",0,NA,NA,NA,NA,NA
12781,2008,1,7,1,1213,1200,1301,1255,"WN",24,"N522SW",48,55,38,6,13,"HOU","DAL",239,4,6,0,"N",0,NA,NA,NA,NA,NA
1592233,2008,3,24,1,754,740,855,859,"MQ",4330,"N652RS",121,139,104,-4,14,"BWI","ORD",622,6,11,0,"N",0,NA,NA,NA,NA,NA
6311305,2008,11,30,7,2112,1900,2340,2100,"MQ",4723,"N803MQ",148,120,83,160,132,"JFK","RDU",426,14,51,0,"N",0,58,0,28,0,74
1211880,2008,3,14,5,1924,1855,2246,2155,"WN",299,"N625SW",142,120,126,51,29,"BNA","FLL",793,7,9,0,"N",0,0,0,22,0,29
5275441,2008,9,25,4,1858,1655,NA,2015,"AA",354,"N515AA",NA,140,NA,NA,123,"ORD","LGA",733,NA,32,0,"N",1,NA,NA,NA,NA,NA
1708852,2008,3,30,7,1907,1805,2141,2020,"AA",2331,"N4WBAA",274,255,242,81,62,"ORD","PSP",1652,7,25,0,"N",0,0,0,22,0,59
4715249,2008,8,31,7,1708,1625,1933,1910,"AA",257,"N5BVAA",325,345,282,23,43,"JFK","LAS",2248,7,36,0,"N",0,23,0,0,0,0
3252064,2008,6,18,3,1934,1821,2102,1955,"UA",1550,"N473UA",88,94,64,67,73,"SFO","LAS",414,6,18,0,"N",0,67,0,0,0,0
4354518,2008,8,4,1,1802,1505,2005,1722,"XE",2751,"N12567",123,137,85,163,177,"EWR","CHS",628,4,34,0,"N",0,13,0,0,0,150
273927,2008,1,14,1,1441,1415,1715,1648,"US",1068,"N167US",154,153,134,27,26,"TPA","PHL",920,11,9,0,"N",0,0,0,1,0,26
2711482,2008,5,11,7,1320,1155,1542,1418,"EV",4270,"N830AS",82,83,58,84,85,"GPT","ATL",352,12,12,0,"N",0,84,0,0,0,0
4430582,2008,8,16,6,1124,1100,1239,1223,"OO",6518,"N465SW",75,83,62,16,24,"LAX","PHX",370,5,8,0,"N",0,0,0,0,0,16
3250479,2008,6,24,2,1052,1030,1207,1145,"UA",1485,"N482UA",75,75,45,22,22,"LAS","LAX",236,12,18,0,"N",0,7,0,0,0,15
3751008,2008,7,18,5,1751,1653,1856,1749,"YV",7276,"N570ML",65,56,24,67,58,"ORD","MSN",109,8,33,0,"N",0,67,0,0,0,0
4243313,2008,8,6,3,1601,1545,1725,1710,"WN",57,"N615SW",144,145,130,15,16,"BDL","BNA",852,5,9,0,"N",0,5,0,0,0,10
5699898,2008,10,24,5,1618,1355,1756,1519,"EV",5597,"N744EV",98,84,70,157,143,"GSO","ATL",306,10,18,0,"N",0,14,0,40,0,103
275365,2008,1,16,3,1957,1945,2119,2106,"US",816,"N922UW",82,81,56,13,12,"CLT","BWI",361,6,20,0,"N",0,NA,NA,NA,NA,NA
705126,2008,2,26,2,2152,2100,2249,2213,"XE",1216,"N14543",57,73,41,36,52,"DCA","EWR",199,6,10,0,"N",0,0,0,0,0,36
4149238,2008,7,22,2,1935,1900,30,2359,"AA",2468,"N5ELAA",175,179,153,31,35,"LAX","DFW",1235,4,18,0,"N",0,14,0,0,0,17
5024388,2008,9,21,7,2006,1959,2231,2224,"OO",6043,"N953SW",85,85,62,7,7,"ORD","CRW",416,6,17,0,"N",0,NA,NA,NA,NA,NA
1787744,2008,3,15,6,1021,950,1256,1140,"DL",539,"N992DL",155,110,81,76,31,"ATL","FLL",581,6,68,0,"N",0,17,0,45,0,14
2220869,2008,4,27,7,1246,1227,1331,1313,"NW",724,"N8978E",45,46,25,18,19,"DTW","GRR",120,5,15,0,"N",0,18,0,0,0,0
83491,2008,1,28,1,1928,1900,2059,2030,"WN",1231,"N394SW",91,90,80,29,28,"SMF","PDX",479,4,7,0,"N",0,0,0,1,0,28
3094074,2008,6,16,1,949,810,1106,927,"XE",519,"N11192",77,77,61,99,99,"AUS","MSY",445,4,12,0,"N",0,99,0,0,0,0
1885879,2008,4,1,2,1744,1710,2014,1945,"XE",257,"N14198",150,155,133,29,34,"SAN","GEG",1027,5,12,0,"N",0,0,0,0,0,29
6644246,2008,12,15,1,818,801,1027,1018,"OO",5954,"N934SW",69,77,52,9,17,"ORD","LEX",323,3,14,0,"N",0,NA,NA,NA,NA,NA
6540564,2008,12,27,6,1846,1400,1957,1520,"WN",366,"N303SW",131,140,115,277,286,"AUS","DEN",775,7,9,0,"N",0,277,0,0,0,0
5977451,2008,11,14,5,952,940,1405,1415,"WN",1634,"N340LV",133,155,119,-10,12,"DEN","IND",977,4,10,0,"N",0,NA,NA,NA,NA,NA
6913316,2008,12,19,5,1414,1110,1844,1430,"AA",1030,"N537AA",210,140,170,254,184,"STL","LGA",887,26,14,0,"N",0,0,0,254,0,0
5728970,2008,10,24,5,1814,1727,2041,1951,"FL",379,"N926AT",147,144,112,50,47,"PHL","ATL",665,12,23,0,"N",0,0,0,3,0,47
6801618,2008,12,19,5,1649,1603,1903,1820,"FL",965,"N965AT",134,137,116,43,46,"RSW","BWI",919,6,12,0,"N",0,0,0,43,0,0
2211390,2008,4,12,6,1932,1901,2023,1959,"NW",277,"N342NW",111,118,90,24,31,"DTW","MEM",610,6,15,0,"N",0,24,0,0,0,0
8373,2008,1,5,6,752,745,920,905,"WN",1014,"N406WN",88,80,63,15,7,"SMF","LAX",373,9,16,0,"N",0,7,0,8,0,0
5436610,2008,10,19,7,2137,2115,2229,2215,"WN",2990,"N648SW",52,60,43,14,22,"DAL","LIT",296,2,7,0,"N",0,NA,NA,NA,NA,NA
